guest,qid,certainty_P1480
Ada Lovelace,Q7259,
Adam Sedgwick,Q350891,presumably Q18122778
Ann Taylor,Q96077643,
Annabella Byron,Q272161,
Augustus de Morgan,Q208448,
Benjamin Hawes,Q4888797,
Benjamin Travers,Q4889308,presumably Q18122778
Caroline Darwin,Q55363478,
Catherine Stepney,Q18575958,
Charles Bennet,Q5075542,presumably Q18122778
Charles Darwin,Q1035,
Charles Dickens,Q5686,
Charles Dupin,Q860206,
Charles Lyell,Q5333,
Charles Wheatstone,Q156942,
Charlotte Murchison,Q15994653,presumably Q18122778
David Brewster,Q168468,
David Colden,Q98558441,presumably Q18122778
David Wilkie,Q902759,presumably Q18122778
Edward Kater,Q21166109,
Edward Stanley,Q5345414,
Ellen Coolidge,Q60536153,
Emma Darwin,Q242147,
Erasmus Darwin,Q5384940,
Ernst Ludwig von Gerlach,Q65780,
Felix Mendelssohn,Q46096,
Frances Allen,Q96079996,
Francis Chantrey,Q1476802,
Frederick Pollock,Q18531536,
George Ticknor,Q5545233,
Harriet Martineau,Q234570,
Henry Hallam,Q1234977,
Henry Hart Milman,Q4269655,
Jane Marcet,Q433093,
Jane Porter,Q3161890,
Jean Charles Léonard de Sismondi,Q124073,
Jessie Allen de Sismondi,Q94777333,
John Herschel,Q14278,
John Taylor,Q6260357,presumably Q18122778
Marcellin Jobard,Q2276484,
Margaret Herschel,Q75567564,
Martha Charters Somerville,Q43386537,
Mary Ann Milman,Q76075859,
Mary Charlotte Somerville,Q125116928,
Mary Lyell,Q3296187,
Mary Montgomery,Q18122778
Mary Somerville,Q268702,
Michael Faraday,Q8750,
Nassau William Senior,Q687552,
Neil Arnott,Q1398302,
Samuel Rogers,Q3471218,
Sidney Smith,Q6182166,
Sophia de Morgan,Q22917436,
Spencer Compton,Q338197,presumably Q18122778
Thomas Musgrave,Q3525438,
Thomas Talfourd,Q2426332,
William Brockedon,Q4019944,
William Harness,Q16065697,presumably Q18122778
William Henry Fox Talbot,Q299565,
William Macready,Q637374,
William Somerville,Q8018611,
William Whewell,Q333922,,
Lord Northampton, Q8007034,,
Henry Wadsworth Longfellow,Q152513,,
Abraham Hayward,Q4668904,,
Helen Blackwood,Q5701894,,
Georgiana Seymour,Q5548110,,
John Moore,Q16063392,,
Hugh Falconer,Q223013,,
Sydney Morgan,Q459275,,
Charles Landseer,Q5080054,presumably
Sylvain Van de Weyer,Q546727,,
Charles Bunbury,Q1063834,,
Edward Ryan,Q5345150,,
Mrs Milner,Unknown,,
Indian princes,Unknown,,